class,precision,recall,mAP50,mAP50-95
Предупреждающие,0.9133722326159323,0.9399038461538461,0.9708007327770988,0.7199447681799758
Знаки приоритета,0.9361006438422544,0.9494163424124513,0.981558550934659,0.764695470940874
Запрещающие,0.907101598129351,0.9197148400915593,0.9606654539101354,0.7273353383023
Предписывающие,0.9339743626940161,0.9045454545454545,0.9654591143223855,0.7250761006017065
Особые предписания,0.9102471138640505,0.914904462416367,0.9645905405565648,0.7162500265117376
Информационные,0.8843466543903141,0.8363415139857214,0.9221768220440298,0.675439702440435
Сервисные,0.9483879110793907,0.9280505892093681,0.9750648082219947,0.771995404687455
С доп. информацией,0.7003155019868507,0.7396226415094339,0.7781401106486179,0.564971273749285
