class,precision,recall,mAP50,mAP50-95
Предупреждающие,0.9008464753881847,0.9281931339336056,0.9636179775211828,0.7089886594434198
Знаки приоритета,0.9353414306497398,0.9287416503394491,0.9710914473514104,0.7448476291777031
Запрещающие,0.9067961967770206,0.9102112676056338,0.953585850157052,0.7030321817246269
Предписывающие,0.9057914734108548,0.9032040636207642,0.9559311478448347,0.7095570610339055
Особые предписания,0.8854287501080176,0.9322022037488518,0.9622214122452982,0.7139995166030925
Информационные,0.865400419676287,0.8036819956148017,0.8842750414685325,0.6299763030649097
Сервисные,0.9506653979300024,0.9090909090909091,0.9505908216893669,0.7389214044791511
С доп. информацией,0.6874185720767487,0.6639002068476487,0.7154941321737249,0.5031436220002335
